     %   cumulative   self              self     total
    time   seconds   seconds    calls  ms/call  ms/call  name
    0.41    34.32      0.23     2724     0.09     0.27  Sprite_Battler#update_tsbs_battler_references
    0.39    34.54      0.22    88638     0.00     0.00  Integer#round
    0.38    34.76      0.22    49727     0.00     0.00  Smooth_Slide#update_smove
    0.38    34.97      0.22    33428     0.01     0.01  Color#alpha=
    0.36    35.18      0.20     9269     0.02     0.03  Rect#set
    0.36    35.38      0.20    56161     0.00     0.00  IO#getbyte
    0.36    35.58      0.20    36942     0.01     0.01  Array#clear
    0.36    35.79      0.20    37496     0.01     0.01  Float#<=>
    0.36    35.99      0.20     8150     0.02     0.06  Array#select
    0.35    36.19      0.20     4092     0.05     0.15  Sprite_AnimState#update_position
    0.35    36.39      0.20     3405     0.06    30.12  Spriteset_Battle#update
    0.33    36.58      0.19     2709     0.07     0.15  Sprite_Battler#update_color
    0.33    36.77      0.19     2725     0.07     0.12  Sprite_Battler#update_origin
    0.33    36.96      0.19     3395     0.06    63.63  Scene_Battle#update_basic
    0.33    37.14      0.19     4086     0.05     0.85  Sprite_Battler#update_enemy_gauges
    0.33    37.33      0.19     6949     0.03     0.16  Cache#load_bitmap
    0.33    37.52      0.19     2052     0.09     0.73  AnimPortrait#update
    0.33    37.70      0.19     4086     0.05     0.06  Sprite_Battler#afterimage
    0.31    37.88      0.17     4069     0.04     0.05  Game_BattlerBase#state?
    0.31    38.05      0.17     4086     0.04     0.07  Sprite_BattlerIcon#afterimage
    0.31    38.22      0.17      679     0.25     1.47  Graphics#update
    0.30    38.40      0.17     2405     0.07     0.66  Integer#times
    0.30    38.57      0.17     9113     0.02     0.08  TSBS::Screen_Point#screen_x
    0.30    38.74      0.17     1362     0.13     0.22  Game_Backdrop#looping_position_check
    0.30    38.91      0.17     7479     0.02     0.02  Window_Selectable#cursor_movable?
    0.30    39.08      0.17     4092     0.04     0.10  Sprite_BattlerShadow#update_visible
    0.28    39.24      0.16    10889     0.01     0.26  Window_Base#update
    0.28    39.40      0.16     8172     0.02     0.07  Sprite_Battler#setup_new_effect
    0.28    39.55      0.16    41515     0.00     0.00  Fixnum#-
    0.28    39.71      0.16     6947     0.02     0.02  Cache#include?
    0.28    39.86      0.16    30992     0.01     0.01  Graphics#height
    0.27    40.02      0.16      679     0.23     1.15  TSBS::Camera#update
    0.27    40.17      0.15    14847     0.01     0.01  Sprite#opacity=
    0.27    40.33      0.15    36122     0.00     0.00  Theo::Rotation#update_rotation
    0.27    40.48      0.15     4086     0.04     4.22  Sprite_Battler#update_tsbs_extras
    0.27    40.64      0.15     1360     0.11     0.71  Sprite_AoE_Circle#update
    0.27    40.79      0.15    34087     0.00     0.00  THEO::FADE#fade?
    0.25    40.93      0.14    30134     0.00     0.00  Sprite_BattlerIcon#battler
    0.25    41.07      0.14     1358     0.10     0.27  Game_Backdrop#update
    0.25    41.22      0.14     5448     0.03     0.32  Sprite_Battler#update_bitmap
    0.25    41.36      0.14      680     0.21     0.44  Alarm_Tone#update
    0.25    41.50      0.14     6762     0.02     0.03  Color#set
    0.25    41.64      0.14     1362     0.10     1.03  Spriteset_Battle#update_backdrops
    0.25    41.78      0.14     5448     0.03     0.04  Game_Battler#state_tone
    0.25    41.92      0.14     4098     0.03     0.10  Sprite_BattlerShadow#update_shadow
    0.22    42.04      0.13     4092     0.03     0.05  Sprite_BattlerShadow#update_opacity
    0.22    42.17      0.13     2052     0.06     0.06  AnimPortrait#ypos_case
    0.22    42.29      0.13     4092     0.03     0.04  Sprite_AnimGuard#diff_x
    0.22    42.42      0.13    29054     0.00     0.00  Game_Enemy#enemy
    0.22    42.54      0.12     5458     0.02     0.21  Sprite_Battler#setup_new_animation
    0.22    42.67      0.12     1362     0.09     0.54  Spriteset_Battle#update_viewports
    0.20    42.78      0.11     1356     0.08     0.09  Window_BattleHelp#update_battler_name
    0.19    42.89      0.11     4086     0.03     0.07  Sprite_AnimState#update_state_anim
    0.19    43.00      0.11    14176     0.01     0.01  Sprite#opacity
    0.19    43.11      0.11     2040     0.05     0.11  DamageResult#update
    0.19    43.21      0.11      225     0.48     0.56  Kernel#eval
    0.19    43.32      0.11     6946     0.02     0.11  Cache#normal_bitmap
    0.19    43.43      0.11    20263     0.01     0.01  Sprite#bitmap
    0.19    43.54      0.11    13914     0.01     0.01  Sprite#zoom_x=
    0.19    43.65      0.11     3698     0.03     0.05  Game_BaseItem#object
    0.19    43.76      0.11    10905     0.01     0.01  Game_System#window_tone
    0.17    43.85      0.10     1362     0.07     0.14  Game_Actor#battler_name
    0.17    43.95      0.10    18861     0.01     0.01  Sprite#z=
    0.17    44.04      0.10     9655     0.01     0.02  Game_Actor#data_battler
    0.17    44.14      0.09    16066     0.01     0.01  SceneManager#scene
    0.17    44.23      0.09     2055     0.05     0.05  AnimPortrait#img_name
    0.17    44.33      0.09     7479     0.01     0.04  Window_Selectable#process_cursor_move
    0.17    44.42      0.09    23402     0.00     0.00  Sprite#y
    0.17    44.51      0.09     4078     0.02     0.03  Math#radian
    0.17    44.61      0.09     2043     0.05     0.17  Game_Enemy#battler_name
    0.17    44.70      0.09     2341     0.04     0.12  Game_BattlerBase#dead?
    0.17    44.80      0.09     3817     0.02     0.34  Class#new
    0.17    44.89      0.09    19873     0.00     0.00  Kernel#nil?
    0.17    44.98      0.09     5448     0.02     0.03  Sprite_Battler#setup_popups
    0.17    45.08      0.09    13883     0.01     0.01  Sprite#width
    0.17    45.17      0.09     7637     0.01     0.53  Enumerable#each_with_index
    0.17    45.27      0.09    18013     0.01     0.01  Graphics#width
    0.17    45.36      0.09    13914     0.01     0.01  Sprite#zoom_y=
    0.17    45.45      0.09     2727     0.03     0.04  Sprite_AnimState#diff_y
    0.16    45.55      0.09    16194     0.01     0.01  Array#include?
    0.16    45.64      0.09     4092     0.02     0.47  Sprite_CursorAid#update
    0.16    45.73      0.09    10481     0.01     0.01  Game_BattlerBase#exist?
    0.16    45.83      0.09    10917     0.01     0.01  Object#backdrop_settings
    0.16    45.92      0.09    14043     0.01     0.01  Sprite#ox=
    0.16    46.01      0.09      176     0.52     3.20  Sprite#clone
    0.16    46.10      0.09     2729     0.03     0.04  TSBS_BattlerDB#custom_flip?
    0.14    46.18      0.08     3405     0.02     0.07  Game_Battler#state_trans_name
    0.14    46.26      0.08    14043     0.01     0.01  Sprite#oy=
    0.14    46.34      0.08    23402     0.00     0.00  Sprite#x
    0.14    46.42      0.08     1880     0.04     0.18  TSBS::Afterimage#update_point_placement
    0.14    46.50      0.08    18193     0.00     0.00  Kernel#instance_variable_get
    0.14    46.58      0.08      646     0.12     0.14  THEO::Movement::Move_Object#update_move
    0.14    46.65      0.08    16416     0.00     0.00  Kernel#is_a?
    0.14    46.73      0.08     5441     0.01     0.01  Float#==
    0.14    46.81      0.08    16227     0.00     0.00  String#empty?
    0.14    46.89      0.08     2729     0.03     0.21  Sprite_Base#start_animation
    0.14    46.97      0.08        1    78.00    78.00  Bitmap#hue_change
    0.14    47.04      0.08    12410     0.01     0.01  Sprite_Base#animation?
    0.14    47.12      0.08    14281     0.01     0.01  Sprite#visible=
    0.14    47.20      0.08     4086     0.02     0.02  Sprite_AnimGuard#update_anim_guard
    0.14    47.28      0.08     4086     0.02     0.49  Sprite_Battler#update_cursor_selection
    0.14    47.36      0.08     6168     0.01     0.24  Game_Enemy#screen_z
    0.14    47.43      0.08     2729     0.03     0.08  Game_Battler#custom_flip?
    0.14    47.51      0.08    19328     0.00     0.00  Sprite#x=
    0.14    47.59      0.08      684     0.11     0.13  Window_NumberInput#process_cursor_move
    0.11    47.65      0.06     6583     0.01     0.04  Game_Party#all_members
    0.11    47.71      0.06     2037     0.03     0.62  Window_BattleStatus#update
    0.11    47.78      0.06    10905     0.01     0.01  Window#tone
    0.11    47.84      0.06      471     0.13     0.13  Bitmap#draw_text
    0.11    47.90      0.06      280     0.23     4.62  Game_Battler#execute_sequence
    0.11    47.97      0.06     3069     0.02     0.02  Exception#initialize
    0.11    48.03      0.06     2727     0.02     0.03  Sprite_AnimState#diff_x
    0.11    48.09      0.06     1358     0.05     0.44  Window_BattleHelp#update
    0.11    48.16      0.06      682     0.09     0.11  Sprite_Timer#update_position
    0.11    48.22      0.06     9819     0.01     0.01  Rect#y=
    0.11    48.28      0.06     2727     0.02     0.03  Game_Battler#anim_behind?
    0.11    48.35      0.06       18     3.50     3.50  Audio#se_play
    0.11    48.41      0.06     4091     0.02     0.02  Float#*
    0.11    48.47      0.06      499     0.13     0.66  Game_Actor#feature_objects
    0.11    48.53      0.06      680     0.09     0.41  DamageResults#update
    0.11    48.60      0.06     3846     0.02     0.07  Game_BattlerBase#death_state?
    0.11    48.66      0.06     4092     0.02     0.02  Sprite_AnimGuard#diff_y
    0.11    48.72      0.06    10293     0.01     0.01  Sprite#src_rect=
    0.11    48.78      0.06      338     0.18     0.18  Math#atan2
    0.11    48.85      0.06     5107     0.01     0.03  Game_Battler#state_color
    0.11    48.91      0.06     5547     0.01     0.01  SceneManager#scene_is?
    0.11    48.97      0.06     7348     0.01     0.01  Sprite#color=
    0.11    49.03      0.06     2727     0.02     0.10  Sprite_BattlerShadow#shift_y
    0.11    49.09      0.06     2727     0.02     0.26  Game_Battler#shadow_y
    0.11    49.16      0.06    12279     0.01     0.01  Viewport#rect=
    0.11    49.22      0.06     5624     0.01     0.01  Sprite#tone=
    0.11    49.28      0.06     3478     0.02     0.02  Fiber#yield
    0.11    49.34      0.06    10165     0.01     0.01  Game_Actor#actor
    0.11    49.40      0.06     4359     0.01     0.08  Game_Battler#dead?
    0.11    49.46      0.06     4092     0.01     0.01  Sprite_CursorAid#update_visibility
    0.11    49.53      0.06    22062     0.00     0.00  Sprite#y=
    0.11    49.59      0.06     4086     0.01     0.02  Sprite_Battler#update_selection
    0.11    49.65      0.06     4086     0.01     0.02  Enemy_HP_Gauge_Viewport#case_original_hide?
    0.08    49.69      0.05     1366     0.04     0.04  Game_Pictures#each
    0.08    49.74      0.05    13654     0.00     0.00  Proc#call
    0.08    49.79      0.05      347     0.14     0.14  Kernel#caller
    0.08    49.84      0.05    10889     0.00     0.00  Window#theolized_move_update
    0.08    49.89      0.05      338     0.14     0.60  THEO::Circular::Circular_Obj#refresh_info
    0.08    49.93      0.05     9507     0.01     0.01  Sprite#visible
    0.08    49.98      0.05     5800     0.01     0.01  Sprite#tone
    0.08    50.03      0.05      681     0.07     0.30  Spriteset_Battle#update_weather
    0.08    50.08      0.05     1362     0.04     0.04  Viewport#tone=
    0.08    50.13      0.05      681     0.07     0.16  Spriteset_Weather#update_screen
    0.08    50.17      0.05      681     0.07     0.12  Tone#+
    0.08    50.22      0.05    16415     0.00     0.00  Sprite#height
    0.08    50.27      0.05      566     0.08    75.98  Scene_Battle#update_for_wait
    0.08    50.31      0.05     1362     0.03     0.03  Viewport#color=
    0.08    50.36      0.05    13207     0.00     0.00  Game_BattlerBase#hidden?
    0.08    50.41      0.05     6623     0.01     0.01  Game_Party#max_battle_members
    0.08    50.45      0.05     1704     0.03     0.65  TSBS::Afterimage#update
    0.08    50.50      0.05      679     0.07     0.76  Window_BattleActor#update
    0.08    50.55      0.05     5472     0.01     0.01  Sprite#color
    0.08    50.60      0.05      679     0.07     0.14  Game_Screen#update
    0.08    50.64      0.05     4104     0.01     0.01  AnimPortrait#pos_active?
    0.08    50.69      0.05     2724     0.02     0.03  Sprite_BattlerIcon#update_afterimage_reference
    0.08    50.74      0.05     1362     0.03     0.12  Game_Actor#screen_y
    0.08    50.78      0.05      686     0.07     0.55  Game_BattlerBase#all_features
    0.08    50.83      0.05     4092     0.01     0.01  Sprite_CursorAid#update_src_rect
    0.08    50.88      0.05     2043     0.02     0.02  Spriteset_Weather#dimness
    0.08    50.92      0.05     2728     0.02     0.05  NoMethodError#initialize
    0.08    50.97      0.05      684     0.07     0.52  Window_Message#update_back_sprite
    0.08    51.02      0.05     1370     0.03     0.06  Sprite_Battler#bitmap=
    0.08    51.07      0.05    22668     0.00     0.00  Float#+
    0.08    51.11      0.05      679     0.07     0.76  Game_BattleScreen#update
    0.08    51.16      0.05     4089     0.01     0.01  Sprite_Battler#update_balloon
    0.08    51.20      0.05     2052     0.02     0.08  AnimPortrait#update_bitmap
    0.08    51.25      0.05      682     0.07     0.11  Game_Backdrop#initpos_2
    0.08    51.30      0.05      679     0.07     0.09  Scene_Battle#update_debug
    0.08    51.34      0.05     6584     0.01     0.01  Game_Actors#[]
    0.08    51.39      0.05     2052     0.02     0.04  AnimPortrait#update_color
    0.08    51.43      0.05     2520     0.02     0.09  Game_Battler#alive?
    0.08    51.48      0.05     2709     0.02     0.03  Sprite_Battler#update_blending
    0.08    51.53      0.05      681     0.07     1.10  Spriteset_Battle#update_tsbs_extra
    0.08    51.57      0.05    24170     0.00     0.00  Window#active
    0.08    51.62      0.05      681     0.07     1.48  Spriteset_Battle#update_aoe_sprites
    0.08    51.66      0.05      684     0.07     1.71  Window_Message#update_all_windows
    0.08    51.71      0.05     4935     0.01     0.01  Sprite#disposed?
    0.08    51.76      0.05     4060     0.01     0.01  Window#visible
    0.08    51.80      0.05     6810     0.01     0.01  Array#compact!
    0.08    51.85      0.05     1363     0.03     0.07  Game_Message#busy?
    0.08    51.89      0.05      682     0.07     0.48  Sprite_Timer#update
    0.08    51.94      0.05     1705     0.03     0.03  Time#now
    0.08    51.99      0.05      681     0.07    10.06  Spriteset_Battle#update_actors
    0.08    52.03      0.05     4092     0.01     0.01  Sprite_AnimGuard#move_animation
    0.08    52.08      0.05    19405     0.00     0.00  Sprite#src_rect
    0.08    52.12      0.05    16399     0.00     0.00  Viewport#rect
    0.08    52.17      0.05      679     0.07     1.37  Window_BattleEnemy#update
    0.08    52.21      0.05     2716     0.02     0.13  TSBS::Screen_Point#update_move
    0.08    52.26      0.04     1360     0.03     0.10  Sprite_AoE_Circle#set_current_item
    0.06    52.29      0.03     1358     0.02    13.23  Scene_Base#update_basic
    0.06    52.32      0.03     3532     0.01     0.19  Fiber#resume
    0.06    52.36      0.03    16864     0.00     0.00  NilClass#nil?
    0.06    52.39      0.03     2777     0.01     0.02  Object#get_spriteset
    0.06    52.42      0.03     4086     0.01     0.01  Sprite_AnimGuard#update_animation
    0.06    52.45      0.03     2728     0.01     0.03  NameError#initialize
    0.06    52.48      0.03     3698     0.01     0.01  Game_BaseItem#is_skill?
    0.06    52.52      0.03     3542     0.01     0.01  Game_BaseItem#is_item?
    0.06    52.55      0.03     1827     0.02     0.02  Regexp#===
    0.06    52.58      0.03     2727     0.01     0.11  Game_Battler#shadow_x
    0.06    52.61      0.03      679     0.05     0.05  Game_BattleScreen#battle_sound_effect?
    0.06    52.64      0.03      874     0.04     0.32  Game_Unit#alive_members
    0.06    52.68      0.03     4086     0.01     0.01  Sprite_Battler#update_animation
    0.06    52.71      0.03     5448     0.01     0.07  Sprite_Battler#update_effect
    0.06    52.74      0.03     3824     0.01     0.12  Game_Party#members
    0.06    52.77      0.03     1362     0.02     0.05  Game_Backdrop#zoom_1
    0.06    52.80      0.03    13694     0.00     0.00  Fixnum#to_f
    0.06    52.84      0.03     1518     0.02     0.02  Kernel#method
    0.05    52.87      0.03     3186     0.01     0.01  Sprite#zoom_y
    0.05    52.90      0.03     2724     0.01     0.02  Game_Battler#state_anim
    0.05    52.93      0.03     4261     0.01     0.01  Float#/
    0.05    52.96      0.03     2043     0.02     0.02  Game_Actor#use_sprite?
    0.05    52.99      0.03     6585     0.00     0.00  Array#[]
    0.05    53.02      0.03      684     0.05     0.09  Window_NumberInput#update_cursor
    0.05    53.05      0.03     1287     0.02     0.04  TSBS::Camera#smooth
    0.05    53.08      0.03     4329     0.01     0.01  Game_BattlerBase#actor?
    0.05    53.11      0.03     4086     0.01     0.01  Plane#ox
    0.05    53.15      0.03    10905     0.00     0.00  Window#tone=
    0.05    53.18      0.03     2716     0.01     0.02  Game_Battler#update
    0.05    53.21      0.03     2052     0.02     0.08  AnimPortrait#update_idle
    0.05    53.24      0.03        6     5.17     7.83  Sprite_BattlerIcon#initialize
    0.05    53.27      0.03      113     0.27     0.27  Rect#width=
    0.05    53.30      0.03        1    31.00    31.00  Graphics#transition
    0.05    53.33      0.03       16     1.94     1.94  Window#windowskin=
    0.05    53.36      0.03     4546     0.01     0.02  Enumerable#min
    0.05    53.39      0.03      676     0.05     0.05  THEO::Circular::Circular_Obj#center_x
    0.05    53.42      0.03     2729     0.01     0.10  Game_Battler#battler_flip
    0.05    53.46      0.03     1362     0.02     0.02  Viewport#color
    0.05    53.49      0.03     2052     0.02     0.03  AnimPortrait#active?
    0.05    53.52      0.03     3680     0.01     0.01  Input#trigger?
    0.05    53.55      0.03      140     0.22     3.89  Bitmap#initialize
    0.05    53.58      0.03     4163     0.01     0.08  TSBS_AnimRewrite#update_animation
    0.05    53.61      0.03      679     0.05     0.07  Comparable#==
    0.05    53.64      0.03      681     0.04     0.04  Spriteset_Battle#update_battleback1
    0.05    53.67      0.03     5106     0.01     0.01  Symbol#==
    0.05    53.70      0.03     2930     0.01     0.01  Sprite#blend_type=
    0.05    53.73      0.03      347     0.09     3.33  Tilemap#new
    0.05    53.76      0.03      686     0.04     0.07  Game_Battler#backdecor_effects
    0.05    53.79      0.03     8511     0.00     0.00  Sprite#z
    0.05    53.82      0.03     8228     0.00     0.00  Float#-
    0.03    53.84      0.02      770     0.02     0.06  Sprite_Battler#skill_busy?
    0.03    53.85      0.02      681     0.02     0.05  Spriteset_Battle#update_projectiles
    0.03    53.87      0.02     2724     0.01     0.01  Sprite_Battler#update_start_balloon
    0.03    53.88      0.02     3592     0.00     0.00  Game_BaseItem#is_weapon?
    0.03    53.90      0.02      679     0.02     0.05  Game_BattleScreen#battle_flashing?
    0.03    53.92      0.02       67     0.24     0.24  Bitmap#clear
    0.03    53.93      0.02      526     0.03     0.24  Window_Base#process_normal_character
    0.03    53.95      0.02     4086     0.00     0.00  Enemy_HP_Gauge_Viewport#update_original_hide
    0.03    53.97      0.02     1363     0.01     0.01  Game_Message#choice?
    0.03    53.98      0.02       54     0.30     0.30  Sprite_BattlerIcon#anchor=
    0.03    54.00      0.02       22     0.73     0.73  Window_BattleLog#back_rect
    0.03    54.01      0.02      553     0.03     0.03  THEO::Movement::Move_Object#initialize
    0.03    54.03      0.02      573     0.03     0.03  Smooth_Slide#init_smove
    0.03    54.05      0.02     1932     0.01     0.66  Sprite#initialize
    0.03    54.06      0.02      338     0.05     0.32  THEO::Circular::Circular_Obj#get_degree
    0.03    54.08      0.02     4074     0.00     0.00  Float#%
    0.03    54.09      0.02      681     0.02     0.02  Game_Backdrop#screen_y1
    0.03    54.11      0.02      127     0.13     8.72  Method#call
    0.03    54.13      0.02      176     0.09     0.09  Sprite#bush_depth=
    0.03    54.14      0.02        3     5.33     5.33  Game_Screen#clear_tone
    0.03    54.16      0.02       58     0.28     0.28  TSBS::Camera#moving?
    0.03    54.17      0.02       64     0.25     0.25  Game_Party#all_dead?
    0.03    54.19      0.02     5547     0.00     0.00  Kernel#instance_of?
    0.03    54.21      0.02     1505     0.01     0.11  Game_BattlerBase#alive?
    0.03    54.22      0.02     2050     0.01     0.01  Array#==
    0.03    54.24      0.02       18     0.89     0.89  Window_BattleHelp#special_display?
    0.03    54.25      0.02       20     0.80     3.10  Game_BattlerBase#skill_conditions_met?
    0.03    54.27      0.02      134     0.12     0.23  Bitmap#font=
    0.03    54.29      0.02     1370     0.01     0.01  Sprite_Battler#tsbs_bitmap=
    0.03    54.30      0.02        1    16.00    16.00  Audio#bgm_play
    0.03    54.32      0.02      338     0.05     0.05  THEO::Circular::Circular_Obj#can_move?
    0.03    54.33      0.02     2801     0.01     0.01  Window#y
    0.03    54.35      0.02     3173     0.01     0.01  Object#get_scene
    0.03    54.37      0.02       65     0.25     0.98  Game_BattlerBase#equippable?
    0.03    54.38      0.02      120     0.13     0.65  AnimPortrait#random_wait
    0.03    54.40      0.02     1962     0.01     0.01  Module#method_added
    0.03    54.41      0.02      686     0.02     0.02  Game_BattlerBase#feature_objects
    0.03    54.43      0.02     2059     0.01     0.25  Game_Actor#screen_z
    0.03    54.45      0.02       36     0.44     0.86  Enemy_HP_Gauge_Viewport#highlight_aoe?
    0.03    54.46      0.02      686     0.02     0.11  Game_Battler#feature_objects
    0.03    54.48      0.02      553     0.03     0.09  THEO::Movement#set_obj
    0.03    54.49      0.02      263     0.06     0.30  Window_Base#process_character
    0.03    54.51      0.02     2043     0.01     0.01  Plane#oy=
    0.03    54.53      0.02     1363     0.01     0.01  Game_Message#item_choice?
    0.03    54.54      0.02       66     0.24     0.24  SceneManager#in_battle?
    0.03    54.56      0.02       49     0.33     0.65  Theo::Rotation#change_angle
    0.03    54.57      0.02     6930     0.00     0.00  Bitmap#disposed?
    0.03    54.59      0.02     2739     0.01     0.01  Sprite_Base#dispose_animation
    0.03    54.61      0.02      681     0.02     0.19  Spriteset_Weather#update
    0.03    54.62      0.02      552     0.03     0.11  Sprite_PopupLuna#update_move
    0.03    54.64      0.02       84     0.19     0.19  Bitmap#blt
    0.03    54.65      0.02     6129     0.00     0.00  Game_Enemy#use_sprite?
    0.03    54.67      0.02     1363     0.01     0.01  Game_Message#num_input?
    0.03    54.68      0.02     1362     0.01     0.01  Plane#zoom_y=
    0.03    54.70      0.02      679     0.02     0.11  Scene_Battle#update_message_open
    0.03    54.72      0.02      683     0.02     0.02  Tone#gray=
    0.03    54.73      0.02      465     0.03     0.03  Hash#[]=
    0.03    54.75      0.02     1358     0.01     0.01  Math#sin
    0.03    54.76      0.02      683     0.02     0.02  Input#update
    0.03    54.78      0.02       22     0.73     0.73  Window_BattleLog#back_opacity
    0.03    54.80      0.02      205     0.08     0.16  TSBS::Screen_Point#initialize
    0.03    54.81      0.02     2070     0.01     0.01  Fixnum#-@
    0.03    54.83      0.02      681     0.02     0.11  Game_Backdrop#screen_x1
    0.03    54.84      0.02       48     0.33     0.65  THEO::Movement::Move_Object#move_to
    0.03    54.86      0.02      681     0.02     0.05  Battle_Plane#update
    0.03    54.88      0.02      676     0.02     0.02  THEO::Circular::Circular_Obj#range_y
    0.03    54.89      0.02      115     0.14     0.42  Game_Battler#phase_sequence
    0.03    54.91      0.02      679     0.02     0.02  Window_PartyCommand#process_handling
    0.03    54.92      0.02      679     0.02     0.02  Graphics#frame_count
    0.03    54.94      0.02     1360     0.01     0.01  Sprite_AoE_Circle#update_position
    0.03    54.96      0.02     4523     0.00     0.00  Float#to_f
    0.03    54.97      0.02     8352     0.00     0.00  Bitmap#width
    0.03    54.99      0.02      106     0.15     0.15  Kernel#hash
    0.03    55.00      0.02      338     0.05     0.14  THEO::Circular::Circular_Obj#radius
    0.03    55.02      0.02     2823     0.01     0.01  Array#push
    0.03    55.04      0.02      156     0.10     0.51  Game_Actor#param_plus
    0.03    55.05      0.02      265     0.06     0.42  Game_Battler#end_sequence
    0.03    55.07      0.02       22     0.73     5.05  Window_BattleLog#refresh
    0.03    55.08      0.02      679     0.02     0.02  Game_Screen#update_fadein
    0.03    55.10      0.02     1367     0.01     0.01  Tone#gray
    0.03    55.12      0.02      679     0.02     0.02  Time#<=>
    0.03    55.13      0.02     1367     0.01     0.01  Tone#blue
    0.03    55.15      0.02      679     0.02     0.05  Game_Screen#update_pictures
    0.03    55.16      0.02      679     0.02     0.79  Game_Troop#update
    0.03    55.18      0.02     2772     0.01     0.01  String#[]
    0.03    55.19      0.02     3505     0.00     0.00  Integer#to_i
    0.03    55.21      0.02     2527     0.01     0.01  Symbol#===
    0.03    55.22      0.02      297     0.05     0.05  Font#name=
